x,Q2 (GeV^2),rate (Hz),A_clean,A_noisy,A_simplified,dA_stat,dA_sys_uncor,dA_sys_cor,d/u noisy,d/u clean,d/u PDF,d/u simplified,d/u shifted by 1 sig sys cor,d(d/u) from A_stat,d(d/u) from A_sys_uncor,d(d/u) from A_sys_cor,d(d/u) from sin^2(theta_w),d(d/u) from model
0.725,21.75,1.9126,-0.00116407,-0.000788383,-0.00116384,0.000305064,3.29248e-06,5.20587e-06,-0.375326,0.165283,0.164909,0.164909,-0.381833,0.504459,0.0054445,0.00650724,0.0154594,-0.000373708
0.725,21.85,2.2149,-0.0011699,-0.00109265,-0.00116968,0.000283482,3.30899e-06,5.23197e-06,0.0419012,0.165271,0.164899,0.164899,0.0338095,0.466539,0.00544575,0.00809175,0.0154889,-0.0003717
0.725,21.95,1.5697,-0.00117574,-0.000899572,-0.00117552,0.00033674,3.3255e-06,5.25808e-06,-0.242778,0.165259,0.164889,0.164889,-0.249773,0.551562,0.00544698,0.00699466,0.0155181,-0.000369711
0.725,22.05,2.6521,-0.00118158,-0.000824117,-0.00118135,0.000259065,3.34201e-06,5.28418e-06,-0.345971,0.165247,0.164879,0.164879,-0.352589,0.422332,0.00544821,0.00661758,0.0155471,-0.000367741
0.725,22.15,2.438,-0.00118741,-0.000880224,-0.00118719,0.0002702,3.35852e-06,5.31028e-06,-0.279931,0.165235,0.164869,0.164869,-0.286791,0.438419,0.00544942,0.00686028,0.0155757,-0.00036579
0.725,22.25,1.9682,-0.00119325,-0.0015315,-0.00119303,0.000300724,3.37502e-06,5.33638e-06,0.793957,0.165223,0.164859,0.164859,0.782568,0.485666,0.00545062,0.0113892,0.0156041,-0.000363859
0.725,22.35,1.0372,-0.00119909,-0.00108466,-0.00119886,0.000414259,3.39153e-06,5.36248e-06,-0.0109537,0.165211,0.164849,0.164849,-0.0188444,0.665911,0.0054518,0.00789068,0.0156322,-0.000361948
0.725,22.45,1.777,-0.00120492,-0.00104584,-0.0012047,0.000316489,3.40803e-06,5.38858e-06,-0.0746815,0.1652,0.164839,0.164839,-0.082324,0.506394,0.00545298,0.0076425,0.01566,-0.000360057
0.725,22.55,1.4068,-0.00121076,-0.0010967,-0.00121053,0.000355702,3.42454e-06,5.41467e-06,-0.00887229,0.165188,0.16483,0.16483,-0.0167747,0.566515,0.00545414,0.00790237,0.0156875,-0.000358186
0.725,22.65,1.3628,-0.00121659,-0.00128903,-0.00121637,0.000361399,3.44104e-06,5.44076e-06,0.283272,0.165176,0.16482,0.16482,0.27417,0.572948,0.00545529,0.00910224,0.0157148,-0.000356336
0.725,22.75,1.0855,-0.00122242,-0.000865841,-0.0012222,0.000404938,3.45754e-06,5.46685e-06,-0.330589,0.165165,0.16481,0.16481,-0.337272,0.639042,0.00545642,0.00668367,0.0157417,-0.000354506
0.725,22.85,1.2438,-0.00122826,-0.00125985,-0.00122803,0.000378292,3.47403e-06,5.49293e-06,0.215379,0.165154,0.164801,0.164801,0.206559,0.59428,0.00545755,0.00882001,0.0157683,-0.000352696
0.725,22.95,0.9937,-0.00123409,-0.0013101,-0.00123386,0.000423229,3.49052e-06,5.519e-06,0.287502,0.165142,0.164791,0.164791,0.278376,0.661866,0.00545866,0.00912598,0.0157946,-0.000350908
0.725,23.05,2.2806,-0.00123992,-0.00126604,-0.00123969,0.000279369,3.50701e-06,5.54508e-06,0.206207,0.165131,0.164782,0.164782,0.197422,0.434924,0.00545975,0.00878535,0.0158206,-0.00034914
0.725,23.15,2.0294,-0.00124574,-0.00113524,-0.00124552,0.000296155,3.5235e-06,5.57114e-06,0.000616537,0.16512,0.164772,0.164772,-0.00733341,0.458991,0.00546084,0.00794994,0.0158463,-0.000347394
0.725,23.25,2.4621,-0.00125157,-0.00101044,-0.00125135,0.000268875,3.53998e-06,5.5972e-06,-0.176426,0.165109,0.164763,0.164763,-0.18369,0.414852,0.0054619,0.00726398,0.0158717,-0.00034567
0.725,23.35,2.0543,-0.0012574,-0.00149837,-0.00125717,0.000294355,3.55646e-06,5.62325e-06,0.571357,0.165098,0.164754,0.164754,0.560976,0.452149,0.00546296,0.0103813,0.0158968,-0.000343967
0.725,23.45,1.8372,-0.00126322,-0.00094118,-0.001263,0.000311261,3.57293e-06,5.64929e-06,-0.275328,0.165087,0.164745,0.164745,-0.282224,0.476005,0.005464,0.00689611,0.0159215,-0.000342286
0.725,23.55,1.1677,-0.00126904,-0.0012075,-0.00126882,0.000390425,3.58939e-06,5.67533e-06,0.073436,0.165076,0.164735,0.164735,0.0651878,0.594441,0.00546503,0.00824818,0.015946,-0.000340627
0.725,23.65,0.9297,-0.00127486,-0.00241314,-0.00127464,0.000437554,3.60585e-06,5.70136e-06,3.11098,0.165065,0.164726,0.164726,3.08588,0.66328,0.00546605,0.0251029,0.0159701,-0.000338991
0.725,23.75,1.7289,-0.00128068,-0.00146453,-0.00128046,0.000320862,3.62231e-06,5.72737e-06,0.462337,0.165055,0.164717,0.164717,0.452437,0.484268,0.00546705,0.00990015,0.0159939,-0.000337376
0.725,23.85,1.5641,-0.0012865,-0.000992136,-0.00128627,0.000337342,3.63876e-06,5.75338e-06,-0.234827,0.165044,0.164708,0.164708,-0.241879,0.506931,0.00546803,0.00705209,0.0160173,-0.000335785
0.725,23.95,0.962,-0.00129231,-0.00160919,-0.00129208,0.000430146,3.6552e-06,5.77938e-06,0.70007,0.165033,0.164699,0.164699,0.689084,0.643595,0.00546901,0.0109859,0.0160405,-0.000334216
0.725,24.05,1.6244,-0.00129812,-0.000860622,-0.0012979,0.000331022,3.67163e-06,5.80536e-06,-0.398561,0.165023,0.16469,0.16469,-0.405016,0.493153,0.00546996,0.00645495,0.0160633,-0.000332671
0.725,24.15,1.394,-0.00130393,-0.000726449,-0.0013037,0.000357332,3.68806e-06,5.83134e-06,-0.545492,0.165012,0.164681,0.164681,-0.551432,0.530069,0.00547091,0.00594048,0.0160857,-0.000331148
0.725,24.25,1.6763,-0.00130973,-0.00151292,-0.00130951,0.000325857,3.70448e-06,5.8573e-06,0.488431,0.165002,0.164673,0.164673,0.478406,0.481319,0.00547184,0.0100251,0.0161078,-0.000329649
0.725,24.35,1.5457,-0.00131553,-0.00145214,-0.00131531,0.000339344,3.72089e-06,5.88325e-06,0.3761,0.164992,0.164664,0.164664,0.366568,0.499113,0.00547275,0.0095318,0.0161296,-0.000328173
0.725,24.45,1.3696,-0.00132133,-0.0015827,-0.00132111,0.000360501,3.7373e-06,5.90919e-06,0.586525,0.164982,0.164655,0.164655,0.576054,0.52799,0.00547365,0.0104712,0.0161511,-0.000326721
