     x     Q2  rate(Hz)
 0.395  14.95  17.4609
 0.395  15.05  3.9127
 0.405  13.35  1.5854
 0.405  13.45  22.5212
 0.405  13.55  61.8192
 0.405  13.65  93.0597
 0.405  13.75  88.6360
 0.405  13.85  91.8465
 0.405  13.95  96.6771
 0.405  14.05  84.0125
 0.405  14.15  63.5180
 0.405  14.25  65.3498
 0.405  14.35  80.8964
 0.405  14.45  78.9131
 0.405  14.55  73.8671
 0.405  14.65  68.1427
 0.405  14.75  62.3969
 0.405  14.85  54.4929
 0.405  14.95  63.4530
 0.405  15.05  47.8009
 0.405  15.15  30.4151
 0.405  15.25  20.0169
 0.405  15.35  6.0021
 0.405  15.45  0.7427
 0.415  13.65  1.4896
 0.415  13.75  36.4172
 0.415  13.85  54.0117
 0.415  13.95  95.3721
 0.415  14.05  73.4726
 0.415  14.15  88.7904
 0.415  14.25  73.6001
 0.415  14.35  71.5257
 0.415  14.45  68.1180
 0.415  14.55  74.0080
 0.415  14.65  63.2644
 0.415  14.75  68.5045
 0.415  14.85  68.9162
 0.415  14.95  65.9569
 0.415  15.05  58.6935
 0.415  15.15  54.0763
 0.415  15.25  60.9573
 0.415  15.35  46.3600
 0.415  15.45  42.4578
 0.415  15.55  29.8216
 0.415  15.65  11.7394
 0.415  15.75  3.7464
 0.425  13.95  5.7779
 0.425  14.05  46.5621
 0.425  14.15  69.2176
 0.425  14.25  94.4091
 0.425  14.35  54.4844
 0.425  14.45  79.4128
 0.425  14.55  73.0728
 0.425  14.65  79.6524
 0.425  14.75  70.3495
 0.425  14.85  58.9130
 0.425  14.95  61.9445
 0.425  15.05  41.8139
 0.425  15.15  71.9691
 0.425  15.25  57.3882
 0.425  15.35  66.8345
 0.425  15.45  53.3840
 0.425  15.55  50.8004
 0.425  15.65  49.8142
 0.425  15.75  42.8095
 0.425  15.85  32.5869
 0.425  15.95  13.6781
 0.425  16.05  6.8193
 0.435  14.25  18.8675
 0.435  14.35  55.1402
 0.435  14.45  57.2714
 0.435  14.55  71.4431
 0.435  14.65  88.9852
 0.435  14.75  66.3177
 0.435  14.85  41.5920
 0.435  14.95  73.1937
 0.435  15.05  70.0886
 0.435  15.15  59.9475
 0.435  15.25  65.1293
 0.435  15.35  50.4772
 0.435  15.45  57.5699
 0.435  15.55  49.9724
 0.435  15.65  50.6027
 0.435  15.75  47.6390
 0.435  15.85  45.0471
 0.435  15.95  36.5051
 0.435  16.05  43.1814
 0.435  16.15  30.0371
 0.435  16.25  19.2135
 0.435  16.35  11.2533
 0.435  16.45  2.5580
 0.445  14.45  1.2773
 0.445  14.55  21.2409
 0.445  14.65  41.9407
 0.445  14.75  53.9499
 0.445  14.85  54.8327
 0.445  14.95  55.1656
 0.445  15.05  53.8665
 0.445  15.15  59.6275
 0.445  15.25  60.1874
 0.445  15.35  64.3744
 0.445  15.45  46.3053
 0.445  15.55  50.0226
 0.445  15.65  48.8862
 0.445  15.75  63.9308
 0.445  15.85  45.7410
 0.445  15.95  41.7840
 0.445  16.05  49.3372
 0.445  16.15  42.5610
 0.445  16.25  33.6052
 0.445  16.35  40.6131
 0.445  16.45  30.9250
 0.445  16.55  24.5554
 0.445  16.65  12.4757
 0.445  16.75  3.5612
 0.455  14.75  15.3673
 0.455  14.85  27.6821
 0.455  14.95  53.8548
 0.455  15.05  55.9795
 0.455  15.15  55.6362
 0.455  15.25  53.4408
 0.455  15.35  58.7149
 0.455  15.45  47.0786
 0.455  15.55  43.1817
 0.455  15.65  51.1715
 0.455  15.75  41.7887
 0.455  15.85  44.6017
 0.455  15.95  49.8733
 0.455  16.05  48.8108
 0.455  16.15  37.2625
 0.455  16.25  42.7621
 0.455  16.35  38.8713
 0.455  16.45  44.5478
 0.455  16.55  34.6154
 0.455  16.65  40.6033
 0.455  16.75  32.9250
 0.455  16.85  20.0651
 0.455  16.95  19.0505
 0.455  17.05  5.0360
 0.455  17.15  0.9776
 0.465  14.95  1.1482
 0.465  15.05  21.3032
 0.465  15.15  45.0008
 0.465  15.25  34.9820
 0.465  15.35  48.8777
 0.465  15.45  50.1601
 0.465  15.55  59.0092
 0.465  15.65  50.1933
 0.465  15.75  53.5421
 0.465  15.85  45.0888
 0.465  15.95  39.3230
 0.465  16.05  44.9075
 0.465  16.15  37.8483
 0.465  16.25  41.2051
 0.465  16.35  38.6215
 0.465  16.45  34.2188
 0.465  16.55  39.2241
 0.465  16.65  39.4728
 0.465  16.75  35.9744
 0.465  16.85  41.9218
 0.465  16.95  33.7527
 0.465  17.05  33.7720
 0.465  17.15  27.2405
 0.465  17.25  20.5240
 0.465  17.35  9.3519
 0.465  17.45  2.7935
 0.475  15.25  10.9965
 0.475  15.35  21.5910
 0.475  15.45  45.5187
 0.475  15.55  30.0214
 0.475  15.65  45.8326
 0.475  15.75  48.2323
 0.475  15.85  42.9077
 0.475  15.95  39.4589
 0.475  16.05  34.9750
 0.475  16.15  40.3071
 0.475  16.25  35.3961
 0.475  16.35  34.3514
 0.475  16.45  48.0620
 0.475  16.55  39.2135
 0.475  16.65  34.7122
 0.475  16.75  33.9328
 0.475  16.85  41.9342
 0.475  16.95  37.0642
 0.475  17.05  33.9647
 0.475  17.15  31.1595
 0.475  17.25  34.7464
 0.475  17.35  31.3496
 0.475  17.45  26.0713
 0.475  17.55  20.5417
 0.475  17.65  10.8369
 0.475  17.75  3.3918
 0.485  15.45  2.0573
 0.485  15.55  9.0534
 0.485  15.65  19.6541
 0.485  15.75  44.9988
 0.485  15.85  45.5555
 0.485  15.95  43.7339
 0.485  16.05  31.5485
 0.485  16.15  46.9310
 0.485  16.25  37.5970
 0.485  16.35  35.6858
 0.485  16.45  41.5992
 0.485  16.55  31.5978
 0.485  16.65  44.7434
 0.485  16.75  40.6990
 0.485  16.85  44.6910
 0.485  16.95  32.9883
 0.485  17.05  34.1719
 0.485  17.15  38.3128
 0.485  17.25  29.9055
 0.485  17.35  25.0078
 0.485  17.45  28.4030
 0.485  17.55  26.2811
 0.485  17.65  28.6763
 0.485  17.75  23.8546
 0.485  17.85  17.4038
 0.485  17.95  10.6511
 0.485  18.05  5.4021
 0.485  18.15  0.5399
 0.495  15.75  5.7561
 0.495  15.85  24.5824
 0.495  15.95  41.2515
 0.495  16.05  33.1955
 0.495  16.15  34.7914
 0.495  16.25  36.4030
 0.495  16.35  26.7479
 0.495  16.45  47.5131
 0.495  16.55  31.5510
 0.495  16.65  28.8253
 0.495  16.75  26.4271
 0.495  16.85  31.3762
 0.495  16.95  31.0331
 0.495  17.05  28.4714
 0.495  17.15  39.5475
 0.495  17.25  32.9473
 0.495  17.35  28.9258
 0.495  17.45  33.6405
 0.495  17.55  36.4433
 0.495  17.65  22.9569
 0.495  17.75  25.5412
 0.495  17.85  29.0433
 0.495  17.95  23.5955
 0.495  18.05  24.8216
 0.495  18.15  22.2206
 0.495  18.25  18.1933
 0.495  18.35  5.6352
 0.495  18.45  0.8441
 0.505  16.05  14.3918
 0.505  16.15  14.8830
 0.505  16.25  31.3857
 0.505  16.35  28.2594
 0.505  16.45  39.1646
 0.505  16.55  29.9596
 0.505  16.65  31.3511
 0.505  16.75  24.1353
 0.505  16.85  25.8332
 0.505  16.95  32.3174
 0.505  17.05  28.4423
 0.505  17.15  27.2649
 0.505  17.25  29.9901
 0.505  17.35  21.2245
 0.505  17.45  26.1974
 0.505  17.55  30.6153
 0.505  17.65  20.2850
 0.505  17.75  26.7213
 0.505  17.85  28.5702
 0.505  17.95  26.0186
 0.505  18.05  18.9383
 0.505  18.15  24.9898
 0.505  18.25  21.8292
 0.505  18.35  28.5184
 0.505  18.45  14.9286
 0.505  18.55  13.6276
 0.505  18.65  8.4062
 0.505  18.75  2.7553
 0.515  16.35  11.5944
 0.515  16.45  17.6977
 0.515  16.55  23.8868
 0.515  16.65  26.7925
 0.515  16.75  32.0536
 0.515  16.85  35.5482
 0.515  16.95  31.1120
 0.515  17.05  28.8103
 0.515  17.15  18.2864
 0.515  17.25  27.8025
 0.515  17.35  25.9413
 0.515  17.45  30.2935
 0.515  17.55  31.5796
 0.515  17.65  15.6585
 0.515  17.75  22.9781
 0.515  17.85  25.0546
 0.515  17.95  23.2412
 0.515  18.05  20.3661
 0.515  18.15  27.9547
 0.515  18.25  22.7404
 0.515  18.35  24.3618
 0.515  18.45  20.8668
 0.515  18.55  20.7463
 0.515  18.65  23.9335
 0.515  18.75  18.8109
 0.515  18.85  12.0263
 0.515  18.95  8.4372
 0.515  19.05  3.8452
 0.515  19.15  0.2223
 0.525  16.45  3.2451
 0.525  16.55  10.2814
 0.525  16.65  16.7313
 0.525  16.75  21.6371
 0.525  16.85  23.8369
 0.525  16.95  26.3260
 0.525  17.05  30.0111
 0.525  17.15  22.4668
 0.525  17.25  22.8888
 0.525  17.35  26.9272
 0.525  17.45  20.1560
 0.525  17.55  22.9150
 0.525  17.65  27.3023
 0.525  17.75  23.2834
 0.525  17.85  27.7666
 0.525  17.95  19.6784
 0.525  18.05  17.7008
 0.525  18.15  19.3930
 0.525  18.25  20.3246
 0.525  18.35  20.4554
 0.525  18.45  19.2960
 0.525  18.55  23.5808
 0.525  18.65  20.4022
 0.525  18.75  18.2737
 0.525  18.85  18.1831
 0.525  18.95  18.4439
 0.525  19.05  16.8763
 0.525  19.15  14.8933
 0.525  19.25  11.1328
 0.525  19.35  4.9806
 0.525  19.45  0.4251
 0.535  16.75  4.4984
 0.535  16.85  14.9290
 0.535  16.95  26.6699
 0.535  17.05  20.4330
 0.535  17.15  27.0083
 0.535  17.25  26.7222
 0.535  17.35  19.7862
 0.535  17.45  13.7620
 0.535  17.55  19.9943
 0.535  17.65  19.5908
 0.535  17.75  21.4562
 0.535  17.85  20.1643
 0.535  17.95  19.8704
 0.535  18.05  17.0722
 0.535  18.15  22.6696
 0.535  18.25  19.7691
 0.535  18.35  19.9638
 0.535  18.45  16.7749
 0.535  18.55  15.8287
 0.535  18.65  20.8892
 0.535  18.75  22.9734
 0.535  18.85  17.7736
 0.535  18.95  17.4305
 0.535  19.05  19.3805
 0.535  19.15  17.3183
 0.535  19.25  17.1850
 0.535  19.35  15.0002
 0.535  19.45  11.9308
 0.535  19.55  10.3717
 0.535  19.65  4.6707
 0.535  19.75  1.4215
 0.545  16.95  1.4296
 0.545  17.05  11.6825
 0.545  17.15  23.4225
 0.545  17.25  15.5215
 0.545  17.35  16.3404
 0.545  17.45  20.9628
 0.545  17.55  19.8308
 0.545  17.65  21.9219
 0.545  17.75  22.2681
 0.545  17.85  19.5911
 0.545  17.95  16.3418
 0.545  18.05  21.6685
 0.545  18.15  19.1141
 0.545  18.25  15.2510
 0.545  18.35  27.1216
 0.545  18.45  16.0337
 0.545  18.55  16.6106
 0.545  18.65  16.0491
 0.545  18.75  15.7838
 0.545  18.85  13.9398
 0.545  18.95  17.8356
 0.545  19.05  17.8703
 0.545  19.15  17.0390
 0.545  19.25  17.7763
 0.545  19.35  13.9009
 0.545  19.45  13.3929
 0.545  19.55  14.0516
 0.545  19.65  15.4063
 0.545  19.75  13.2963
 0.545  19.85  11.5918
 0.545  19.95  6.4550
 0.545  20.05  3.0551
 0.555  17.25  2.6308
 0.555  17.35  8.8694
 0.555  17.45  19.9260
 0.555  17.55  21.8228
 0.555  17.65  19.8537
 0.555  17.75  21.7929
 0.555  17.85  15.9012
 0.555  17.95  21.1930
 0.555  18.05  11.3503
 0.555  18.15  18.6058
 0.555  18.25  16.3271
 0.555  18.35  17.0187
 0.555  18.45  15.8114
 0.555  18.55  16.4425
 0.555  18.65  14.3269
 0.555  18.75  15.8370
 0.555  18.85  16.4608
 0.555  18.95  14.5012
 0.555  19.05  13.4730
 0.555  19.15  14.8076
 0.555  19.25  14.2285
 0.555  19.35  15.5253
 0.555  19.45  13.6778
 0.555  19.55  11.4514
 0.555  19.65  10.0133
 0.555  19.75  9.8273
 0.555  19.85  15.0763
 0.555  19.95  11.6322
 0.555  20.05  12.4278
 0.555  20.15  11.1826
 0.555  20.25  4.0599
 0.555  20.35  2.6218
 0.565  17.45  1.2403
 0.565  17.55  15.6028
 0.565  17.65  15.8964
 0.565  17.75  11.8855
 0.565  17.85  12.9539
 0.565  17.95  21.4866
 0.565  18.05  18.4138
 0.565  18.15  12.6964
 0.565  18.25  12.3530
 0.565  18.35  19.3741
 0.565  18.45  22.2834
 0.565  18.55  19.8467
 0.565  18.65  14.4258
 0.565  18.75  13.4166
 0.565  18.85  15.0081
 0.565  18.95  10.9162
 0.565  19.05  12.6420
 0.565  19.15  10.3485
 0.565  19.25  13.5791
 0.565  19.35  12.7386
 0.565  19.45  14.5111
 0.565  19.55  10.0467
 0.565  19.65  14.7982
 0.565  19.75  12.5436
 0.565  19.85  12.9718
 0.565  19.95  12.6984
 0.565  20.05  11.3273
 0.565  20.15  11.1292
 0.565  20.25  14.1092
 0.565  20.35  10.7873
 0.565  20.45  11.2258
 0.565  20.55  6.2712
 0.565  20.65  2.0408
 0.565  20.75  0.4585
 0.575  17.65  1.1596
 0.575  17.75  3.9625
 0.575  17.85  16.4276
 0.575  17.95  13.1136
 0.575  18.05  11.1676
 0.575  18.15  13.2055
 0.575  18.25  12.0772
 0.575  18.35  14.3119
 0.575  18.45  16.4758
 0.575  18.55  13.6011
 0.575  18.65  10.1435
 0.575  18.75  16.6242
 0.575  18.85  11.5786
 0.575  18.95  13.3155
 0.575  19.05  14.2532
 0.575  19.15  13.2373
 0.575  19.25  15.7158
 0.575  19.35  14.5274
 0.575  19.45  11.0462
 0.575  19.55  9.9714
 0.575  19.65  10.3799
 0.575  19.75  11.9063
 0.575  19.85  12.5187
 0.575  19.95  8.8028
 0.575  20.05  12.5923
 0.575  20.15  9.3346
 0.575  20.25  10.6018
 0.575  20.35  12.6767
 0.575  20.45  10.6471
 0.575  20.55  8.0601
 0.575  20.65  10.1293
 0.575  20.75  6.1010
 0.575  20.85  5.8092
 0.575  20.95  3.8702
 0.575  21.05  0.4740
 0.585  17.95  4.2445
 0.585  18.05  8.3236
 0.585  18.15  11.8948
 0.585  18.25  16.4844
 0.585  18.35  10.7451
 0.585  18.45  17.2228
 0.585  18.55  13.3148
 0.585  18.65  10.3666
 0.585  18.75  11.9736
 0.585  18.85  13.3709
 0.585  18.95  13.5272
 0.585  19.05  12.1875
 0.585  19.15  10.1808
 0.585  19.25  11.8034
 0.585  19.35  10.1433
 0.585  19.45  9.5039
 0.585  19.55  13.8667
 0.585  19.65  12.2595
 0.585  19.75  9.1357
 0.585  19.85  10.3299
 0.585  19.95  9.1079
 0.585  20.05  10.0418
 0.585  20.15  8.8100
 0.585  20.25  8.2117
 0.585  20.35  9.8526
 0.585  20.45  8.9538
 0.585  20.55  10.2951
 0.585  20.65  10.4384
 0.585  20.75  8.7481
 0.585  20.85  9.2618
 0.585  20.95  10.9753
 0.585  21.05  8.4684
 0.585  21.15  6.4596
 0.585  21.25  3.4000
 0.585  21.35  0.2685
 0.595  18.15  1.9818
 0.595  18.25  9.7170
 0.595  18.35  13.5991
 0.595  18.45  11.5468
 0.595  18.55  12.4614
 0.595  18.65  12.4085
 0.595  18.75  9.2482
 0.595  18.85  12.1107
 0.595  18.95  6.9992
 0.595  19.05  12.2392
 0.595  19.15  9.7311
 0.595  19.25  7.9392
 0.595  19.35  12.2631
 0.595  19.45  7.4575
 0.595  19.55  9.8610
 0.595  19.65  9.9952
 0.595  19.75  9.4263
 0.595  19.85  8.8217
 0.595  19.95  11.4255
 0.595  20.05  7.0413
 0.595  20.15  10.2116
 0.595  20.25  9.9623
 0.595  20.35  7.6601
 0.595  20.45  7.1592
 0.595  20.55  8.4295
 0.595  20.65  7.3686
 0.595  20.75  8.6940
 0.595  20.85  8.6572
 0.595  20.95  7.5850
 0.595  21.05  8.5595
 0.595  21.15  9.5069
 0.595  21.25  8.2966
 0.595  21.35  7.0135
 0.595  21.45  4.8938
 0.595  21.55  2.5316
 0.595  21.65  0.8497
 0.605  18.35  1.8585
 0.605  18.45  4.4885
 0.605  18.55  9.9980
 0.605  18.65  10.9808
 0.605  18.75  8.0945
 0.605  18.85  9.8496
 0.605  18.95  8.3607
 0.605  19.05  13.1982
 0.605  19.15  8.7514
 0.605  19.25  8.4933
 0.605  19.35  8.4052
 0.605  19.45  10.3428
 0.605  19.55  8.8345
 0.605  19.65  11.6563
 0.605  19.75  7.6145
 0.605  19.85  8.1592
 0.605  19.95  9.1897
 0.605  20.05  8.0631
 0.605  20.15  7.6994
 0.605  20.25  9.3694
 0.605  20.35  9.0882
 0.605  20.45  8.8914
 0.605  20.55  10.2117
 0.605  20.65  8.8854
 0.605  20.75  8.5737
 0.605  20.85  6.9844
 0.605  20.95  5.3747
 0.605  21.05  6.4618
 0.605  21.15  7.8706
 0.605  21.25  7.1862
 0.605  21.35  7.4627
 0.605  21.45  8.4882
 0.605  21.55  7.3622
 0.605  21.65  6.9178
 0.605  21.75  3.4387
 0.605  21.85  2.2036
 0.605  21.95  1.1049
 0.615  18.65  3.8018
 0.615  18.75  10.2233
 0.615  18.85  7.8907
 0.615  18.95  11.0640
 0.615  19.05  6.3807
 0.615  19.15  8.0851
 0.615  19.25  9.9431
 0.615  19.35  11.6441
 0.615  19.45  7.2736
 0.615  19.55  8.6107
 0.615  19.65  11.1948
 0.615  19.75  12.0666
 0.615  19.85  7.9876
 0.615  19.95  7.9520
 0.615  20.05  8.9844
 0.615  20.15  11.0294
 0.615  20.25  8.7765
 0.615  20.35  8.6823
 0.615  20.45  10.0860
 0.615  20.55  8.5925
 0.615  20.65  5.8905
 0.615  20.75  8.4296
 0.615  20.85  9.2467
 0.615  20.95  5.3292
 0.615  21.05  7.8244
 0.615  21.15  5.6827
 0.615  21.25  6.4370
 0.615  21.35  5.7563
 0.615  21.45  7.7970
 0.615  21.55  5.2675
 0.615  21.65  5.7378
 0.615  21.75  6.3754
 0.615  21.85  6.6380
 0.615  21.95  6.0584
 0.615  22.05  4.1109
 0.615  22.15  3.8785
 0.615  22.25  1.2568
 0.615  22.35  0.0959
 0.625  18.85  4.3037
 0.625  18.95  4.5510
 0.625  19.05  9.9293
 0.625  19.15  6.2316
 0.625  19.25  10.7570
 0.625  19.35  8.5850
 0.625  19.45  6.7282
 0.625  19.55  6.4862
 0.625  19.65  10.2132
 0.625  19.75  5.2094
 0.625  19.85  8.0932
 0.625  19.95  5.1621
 0.625  20.05  5.8805
 0.625  20.15  3.9873
 0.625  20.25  6.9767
 0.625  20.35  7.4620
 0.625  20.45  7.3611
 0.625  20.55  5.3556
 0.625  20.65  4.6214
 0.625  20.75  6.9878
 0.625  20.85  7.3069
 0.625  20.95  4.8196
 0.625  21.05  7.0789
 0.625  21.15  5.9857
 0.625  21.25  5.7899
 0.625  21.35  5.8601
 0.625  21.45  6.2964
 0.625  21.55  3.6269
 0.625  21.65  5.3064
 0.625  21.75  5.8585
 0.625  21.85  7.8014
 0.625  21.95  6.4799
 0.625  22.05  6.2800
 0.625  22.15  5.2922
 0.625  22.25  5.6423
 0.625  22.35  4.7403
 0.625  22.45  3.4834
 0.625  22.55  1.6095
 0.625  22.65  0.1885
 0.635  19.05  1.0980
 0.635  19.15  3.1637
 0.635  19.25  5.2859
 0.635  19.35  7.8593
 0.635  19.45  6.4914
 0.635  19.55  6.4880
 0.635  19.65  7.4713
 0.635  19.75  6.9299
 0.635  19.85  5.6701
 0.635  19.95  6.7258
 0.635  20.05  6.9750
 0.635  20.15  7.8411
 0.635  20.25  5.5836
 0.635  20.35  6.1432
 0.635  20.45  5.1993
 0.635  20.55  5.6119
 0.635  20.65  8.1426
 0.635  20.75  7.9824
 0.635  20.85  4.4034
 0.635  20.95  5.5070
