     x     Q2  rate(Hz)
 0.305   5.35  21.7369
 0.305   5.45  9.7900
 0.305   5.55  1.6726
 0.315   4.75  426.9641
 0.315   4.85  549.7620
 0.315   4.95  542.5330
 0.315   5.05  479.9365
 0.315   5.15  264.7016
 0.315   5.25  197.5072
 0.315   5.35  132.9514
 0.315   5.45  84.4623
 0.315   5.55  36.6012
 0.315   5.65  6.4614
 0.315   5.75  1.4167
 0.325   4.85  213.9141
 0.325   4.95  701.4299
 0.325   5.05  510.7842
 0.325   5.15  397.4042
 0.325   5.25  346.6034
 0.325   5.35  204.2050
 0.325   5.45  151.1424
 0.325   5.55  113.0686
 0.325   5.65  61.5317
 0.325   5.75  32.2844
 0.325   5.85  4.5985
 0.335   4.95  320.6941
 0.335   5.05  629.6127
 0.335   5.15  508.1697
 0.335   5.25  559.0684
 0.335   5.35  431.0097
 0.335   5.45  302.0100
 0.335   5.55  213.3013
 0.335   5.65  148.2578
 0.335   5.75  91.0658
 0.335   5.85  75.6099
 0.335   5.95  29.2358
 0.335   6.05  1.5717
 0.345   5.05  217.0259
 0.345   5.15  650.9987
 0.345   5.25  663.8858
 0.345   5.35  480.5276
 0.345   5.45  439.2702
 0.345   5.55  348.1841
 0.345   5.65  255.4521
 0.345   5.75  239.2282
 0.345   5.85  145.0788
 0.345   5.95  124.8210
 0.345   6.05  80.9867
 0.345   6.15  12.4561
 0.355   5.15  181.7164
 0.355   5.25  505.2996
 0.355   5.35  573.2083
 0.355   5.45  522.6769
 0.355   5.55  510.8230
 0.355   5.65  458.1251
 0.355   5.75  301.5916
 0.355   5.85  270.3675
 0.355   5.95  184.9731
 0.355   6.05  98.0572
 0.355   6.15  94.9694
 0.355   6.25  43.8306
 0.355   6.35  1.2371
 0.365   5.25  152.3585
 0.365   5.35  546.2922
 0.365   5.45  620.4011
 0.365   5.55  506.6161
 0.365   5.65  408.1703
 0.365   5.75  358.0507
 0.365   5.85  305.9955
 0.365   5.95  293.3489
 0.365   6.05  285.4670
 0.365   6.15  152.8551
 0.365   6.25  137.4414
 0.365   6.35  94.9789
 0.365   6.45  29.5421
 0.375   5.35  187.8860
 0.375   5.45  541.1653
 0.375   5.55  591.9919
 0.375   5.65  434.7304
 0.375   5.75  459.5046
 0.375   5.85  350.3185
 0.375   5.95  426.2326
 0.375   6.05  273.0909
 0.375   6.15  237.4941
 0.375   6.25  233.6397
 0.375   6.35  182.5450
 0.375   6.45  152.6650
 0.375   6.55  66.5979
 0.375   6.65  5.4504
 0.385   5.45  102.3666
 0.385   5.55  433.9745
 0.385   5.65  498.7852
 0.385   5.75  347.4309
 0.385   5.85  391.1911
 0.385   5.95  322.9862
 0.385   6.05  315.4774
 0.385   6.15  313.0617
 0.385   6.25  255.3988
 0.385   6.35  206.1306
 0.385   6.45  193.0295
 0.385   6.55  160.6023
 0.385   6.65  108.1463
 0.385   6.75  39.0188
 0.395   5.55  197.5017
 0.395   5.65  554.4047
 0.395   5.75  481.1357
 0.395   5.85  458.6337
 0.395   5.95  343.2180
 0.395   6.05  378.4875
 0.395   6.15  424.0925
 0.395   6.25  348.4305
 0.395   6.35  267.6027
 0.395   6.45  238.2557
 0.395   6.55  143.3431
 0.395   6.65  179.4111
 0.395   6.75  173.8616
 0.395   6.85  93.8387
 0.395   6.95  1.1558
 0.405   5.65  85.1267
 0.405   5.75  359.5664
 0.405   5.85  520.5779
 0.405   5.95  348.6457
 0.405   6.05  442.0150
 0.405   6.15  428.8354
 0.405   6.25  367.1267
 0.405   6.35  348.2970
 0.405   6.45  280.6819
 0.405   6.55  259.2136
 0.405   6.65  204.6930
 0.405   6.75  167.3227
 0.405   6.85  180.9332
 0.405   6.95  112.2792
 0.405   7.05  26.3137
 0.415   5.75  134.5881
 0.415   5.85  438.6946
 0.415   5.95  381.8830
 0.415   6.05  433.5627
 0.415   6.15  322.0493
 0.415   6.25  382.8944
 0.415   6.35  303.4114
 0.415   6.45  322.1855
 0.415   6.55  267.8967
 0.415   6.65  224.6014
 0.415   6.75  223.0799
 0.415   6.85  153.8110
 0.415   6.95  176.9006
 0.415   7.05  195.1163
 0.415   7.15  76.5777
 0.415   7.25  5.9329
 0.425   5.85  75.1499
 0.425   5.95  403.7357
 0.425   6.05  400.6099
 0.425   6.15  432.8041
 0.425   6.25  381.1691
 0.425   6.35  351.0734
 0.425   6.45  298.4808
 0.425   6.55  239.7056
 0.425   6.65  273.7986
 0.425   6.75  254.3062
 0.425   6.85  222.5816
 0.425   6.95  197.0640
 0.425   7.05  185.7954
 0.425   7.15  165.5464
 0.425   7.25  74.6605
 0.425   7.35  31.7641
 0.435   5.95  193.9354
 0.435   6.05  339.1281
 0.435   6.15  450.0953
 0.435   6.25  336.9579
 0.435   6.35  468.2390
 0.435   6.45  376.1717
 0.435   6.55  290.9631
 0.435   6.65  293.4763
 0.435   6.75  254.6873
 0.435   6.85  274.5800
 0.435   6.95  194.2413
 0.435   7.05  228.1516
 0.435   7.15  205.8732
 0.435   7.25  131.7890
 0.435   7.35  125.0127
 0.435   7.45  49.0899
 0.445   6.05  231.7509
 0.445   6.15  303.1769
 0.445   6.25  338.3564
 0.445   6.35  417.9946
 0.445   6.45  314.4497
 0.445   6.55  326.5466
 0.445   6.65  316.8067
 0.445   6.75  293.1764
 0.445   6.85  277.3158
 0.445   6.95  195.8500
 0.445   7.05  205.5519
 0.445   7.15  235.3884
 0.445   7.25  161.0195
 0.445   7.35  169.1995
 0.445   7.45  106.0195
 0.445   7.55  86.5034
 0.445   7.65  20.4155
 0.455   6.15  273.8313
 0.455   6.25  407.9008
 0.455   6.35  392.2813
 0.455   6.45  228.0041
 0.455   6.55  347.0779
 0.455   6.65  244.2046
 0.455   6.75  239.1985
 0.455   6.85  295.2505
 0.455   6.95  237.5879
 0.455   7.05  203.5180
 0.455   7.15  221.3634
 0.455   7.25  163.7508
 0.455   7.35  168.4814
 0.455   7.45  192.7970
 0.455   7.55  120.5139
 0.455   7.65  114.9821
 0.455   7.75  40.7500
 0.455   7.85  1.2512
 0.465   6.15  29.7409
 0.465   6.25  265.1194
 0.465   6.35  306.3110
 0.465   6.45  369.3477
 0.465   6.55  258.7726
 0.465   6.65  245.7116
 0.465   6.75  317.9771
 0.465   6.85  218.0250
 0.465   6.95  196.1384
 0.465   7.05  257.8211
 0.465   7.15  223.8785
 0.465   7.25  168.2018
 0.465   7.35  191.7140
 0.465   7.45  173.3098
 0.465   7.55  139.6206
 0.465   7.65  120.6950
 0.465   7.75  123.6149
 0.465   7.85  76.7553
 0.465   7.95  1.5081
 0.475   6.25  13.4607
 0.475   6.35  210.6529
 0.475   6.45  336.6577
 0.475   6.55  321.1095
 0.475   6.65  318.5862
 0.475   6.75  253.7639
 0.475   6.85  237.2608
 0.475   6.95  212.5141
 0.475   7.05  265.5942
 0.475   7.15  166.1582
 0.475   7.25  183.7939
 0.475   7.35  204.6096
 0.475   7.45  154.6873
 0.475   7.55  177.1683
 0.475   7.65  131.3255
 0.475   7.75  153.8105
 0.475   7.85  128.7366
 0.475   7.95  113.1125
 0.475   8.05  21.9432
 0.485   6.35  40.2439
 0.485   6.45  226.0955
 0.485   6.55  345.0100
 0.485   6.65  231.4166
 0.485   6.75  265.4269
 0.485   6.85  154.1506
 0.485   6.95  220.4049
 0.485   7.05  192.1995
 0.485   7.15  210.8950
 0.485   7.25  171.0208
 0.485   7.35  196.8585
 0.485   7.45  201.0751
 0.485   7.55  142.9113
 0.485   7.65  117.1937
 0.485   7.75  133.7585
 0.485   7.85  147.7038
 0.485   7.95  122.8063
 0.485   8.05  103.9245
 0.485   8.15  64.7247
 0.495   6.45  93.6621
 0.495   6.55  255.7299
 0.495   6.65  271.0111
 0.495   6.75  247.5554
 0.495   6.85  202.2710
 0.495   6.95  251.7848
 0.495   7.05  219.8344
 0.495   7.15  184.0848
 0.495   7.25  193.9734
 0.495   7.35  174.5627
 0.495   7.45  147.8552
 0.495   7.55  196.7340
 0.495   7.65  135.4472
 0.495   7.75  141.4040
 0.495   7.85  119.8328
 0.495   7.95  109.0001
 0.495   8.05  105.1307
 0.495   8.15  92.0120
 0.495   8.25  73.5174
 0.495   8.35  8.7752
 0.505   6.55  95.9524
 0.505   6.65  205.8807
 0.505   6.75  179.0892
 0.505   6.85  247.9137
 0.505   6.95  234.1667
 0.505   7.05  172.6663
 0.505   7.15  199.7150
 0.505   7.25  156.4369
 0.505   7.35  165.0552
 0.505   7.45  180.6102
 0.505   7.55  177.9629
 0.505   7.65  151.5748
 0.505   7.75  157.9376
 0.505   7.85  124.8648
 0.505   7.95  129.0468
 0.505   8.05  109.7739
 0.505   8.15  103.0145
 0.505   8.25  109.7756
 0.505   8.35  93.2303
 0.505   8.45  15.8035
 0.515   6.55  5.9850
 0.515   6.65  99.9575
 0.515   6.75  208.2753
 0.515   6.85  183.6598
 0.515   6.95  175.8512
 0.515   7.05  201.9193
 0.515   7.15  195.3345
 0.515   7.25  167.9508
 0.515   7.35  157.0322
 0.515   7.45  203.6541
 0.515   7.55  174.7365
 0.515   7.65  157.0830
 0.515   7.75  122.9729
 0.515   7.85  130.5130
 0.515   7.95  134.0228
 0.515   8.05  138.9507
 0.515   8.15  101.6460
 0.515   8.25  122.6757
 0.515   8.35  114.7714
 0.515   8.45  79.6632
 0.515   8.55  48.1265
 0.525   6.65  16.9869
 0.525   6.75  129.1702
 0.525   6.85  120.9968
 0.525   6.95  187.5302
 0.525   7.05  118.9363
 0.525   7.15  170.5283
 0.525   7.25  156.6539
 0.525   7.35  146.3219
 0.525   7.45  128.3749
 0.525   7.55  125.0293
 0.525   7.65  172.1863
 0.525   7.75  137.2119
 0.525   7.85  130.1699
 0.525   7.95  122.2454
 0.525   8.05  137.5706
 0.525   8.15  79.4619
 0.525   8.25  112.0302
 0.525   8.35  94.8737
 0.525   8.45  93.7605
 0.525   8.55  78.7359
 0.525   8.65  73.6947
 0.525   8.75  2.3335
 0.535   6.75  32.0380
 0.535   6.85  152.8469
 0.535   6.95  187.8612
 0.535   7.05  155.0659
 0.535   7.15  181.5652
 0.535   7.25  150.9295
 0.535   7.35  132.6547
 0.535   7.45  141.5411
 0.535   7.55  165.2182
 0.535   7.65  148.4954
 0.535   7.75  138.8367
 0.535   7.85  144.5446
 0.535   7.95  128.1149
 0.535   8.05  103.8194
 0.535   8.15  143.9940
 0.535   8.25  85.3952
 0.535   8.35  116.8685
 0.535   8.45  96.1620
 0.535   8.55  75.2951
 0.535   8.65  95.8617
 0.535   8.75  44.9378
 0.535   8.85  12.9247
 0.545   6.85  28.6251
 0.545   6.95  176.6625
 0.545   7.05  162.4204
 0.545   7.15  135.7067
 0.545   7.25  126.2651
 0.545   7.35  153.9026
 0.545   7.45  125.7605
 0.545   7.55  141.4894
 0.545   7.65  120.4967
 0.545   7.75  111.7804
 0.545   7.85  108.5440
 0.545   7.95  126.7463
 0.545   8.05  108.7797
 0.545   8.15  115.0399
 0.545   8.25  97.9862
 0.545   8.35  104.2280
 0.545   8.45  78.2994
 0.545   8.55  94.7098
 0.545   8.65  87.4850
 0.545   8.75  93.3724
 0.545   8.85  58.7726
 0.545   8.95  30.9911
 0.555   6.95  74.3420
 0.555   7.05  133.9146
 0.555   7.15  163.6790
 0.555   7.25  126.1606
 0.555   7.35  142.6204
 0.555   7.45  142.9179
 0.555   7.55  131.9485
 0.555   7.65  101.7649
 0.555   7.75  120.4437
 0.555   7.85  132.9769
 0.555   7.95  126.7200
 0.555   8.05  86.8788
 0.555   8.15  99.4696
 0.555   8.25  98.0273
 0.555   8.35  104.4415
 0.555   8.45  72.9012
 0.555   8.55  93.9990
 0.555   8.65  84.2497
 0.555   8.75  69.9730
 0.555   8.85  72.1659
 0.555   8.95  56.6977
 0.555   9.05  48.8106
 0.555   9.15  5.9711
 0.565   7.05  97.6804
 0.565   7.15  119.0314
 0.565   7.25  148.9666
 0.565   7.35  127.4762
 0.565   7.45  112.2248
 0.565   7.55  101.4451
 0.565   7.65  97.3437
 0.565   7.75  136.5878
 0.565   7.85  130.7465
 0.565   7.95  96.2125
 0.565   8.05  75.7651
 0.565   8.15  71.7822
 0.565   8.25  102.1930
 0.565   8.35  83.9339
 0.565   8.45  75.7130
 0.565   8.55  80.1933
 0.565   8.65  70.0956
 0.565   8.75  76.1819
 0.565   8.85  74.1336
 0.565   8.95  66.5014
 0.565   9.05  76.3513
 0.565   9.15  60.1841
 0.565   9.25  8.0499
 0.575   7.05  17.2282
 0.575   7.15  149.6683
 0.575   7.25  96.6499
 0.575   7.35  136.7881
 0.575   7.45  107.1404
 0.575   7.55  112.9244
 0.575   7.65  98.7821
 0.575   7.75  95.7368
 0.575   7.85  101.6607
 0.575   7.95  74.6459
 0.575   8.05  99.7288
 0.575   8.15  93.9616
 0.575   8.25  72.9736
 0.575   8.35  77.3355
 0.575   8.45  74.5601
 0.575   8.55  79.5631
 0.575   8.65  63.1775
 0.575   8.75  57.5288
 0.575   8.85  81.9575
 0.575   8.95  74.6672
 0.575   9.05  60.9828
 0.575   9.15  67.7787
 0.575   9.25  57.3510
 0.575   9.35  20.0130
 0.585   7.15  32.0313
 0.585   7.25  110.0520
 0.585   7.35  125.7726
 0.585   7.45  82.8925
 0.585   7.55  110.9654
 0.585   7.65  133.6163
 0.585   7.75  92.6910
 0.585   7.85  82.2317
 0.585   7.95  66.2391
 0.585   8.05  91.4103
 0.585   8.15  89.2768
 0.585   8.25  64.1193
 0.585   8.35  80.9654
 0.585   8.45  67.2221
 0.585   8.55  72.5182
 0.585   8.65  78.6305
 0.585   8.75  52.2396
 0.585   8.85  74.2059
 0.585   8.95  58.7834
 0.585   9.05  56.1666
 0.585   9.15  62.9741
 0.585   9.25  62.2849
 0.585   9.35  49.0090
 0.585   9.45  24.5592
 0.585   9.55  1.4565
 0.595   7.25  89.7286
 0.595   7.35  106.4373
 0.595   7.45  66.7677
 0.595   7.55  80.1978
 0.595   7.65  95.9138
 0.595   7.75  93.2160
 0.595   7.85  79.0928
 0.595   7.95  84.5276
 0.595   8.05  93.0537
 0.595   8.15  63.7342
 0.595   8.25  64.4514
 0.595   8.35  92.0106
 0.595   8.45  80.5149
 0.595   8.55  63.9019
 0.595   8.65  71.9265
 0.595   8.75  56.9638
 0.595   8.85  60.2733
 0.595   8.95  67.7623
 0.595   9.05  50.5623
 0.595   9.15  45.0699
 0.595   9.25  37.9021
 0.595   9.35  33.7192
 0.595   9.45  52.2151
 0.595   9.55  38.6480
 0.595   9.65  5.1171
 0.605   7.25  3.6385
 0.605   7.35  93.8139
 0.605   7.45  109.0626
 0.605   7.55  106.8797
 0.605   7.65  91.0520
 0.605   7.75  60.9274
 0.605   7.85  84.5624
 0.605   7.95  83.9605
 0.605   8.05  85.4141
 0.605   8.15  70.7977
 0.605   8.25  81.0853
 0.605   8.35  83.3347
 0.605   8.45  68.8689
 0.605   8.55  68.1194
 0.605   8.65  65.8151
 0.605   8.75  57.0542
 0.605   8.85  40.4864
 0.605   8.95  50.2168
 0.605   9.05  54.7164
 0.605   9.15  47.2247
 0.605   9.25  49.4061
 0.605   9.35  50.9407
 0.605   9.45  54.7475
 0.605   9.55  45.5412
 0.605   9.65  36.0652
 0.605   9.75  10.5280
 0.615   7.35  29.2838
 0.615   7.45  90.5510
 0.615   7.55  104.6674
 0.615   7.65  83.8947
 0.615   7.75  69.3947
 0.615   7.85  73.6208
 0.615   7.95  63.6678
 0.615   8.05  51.8364
 0.615   8.15  60.0148
 0.615   8.25  68.2115
 0.615   8.35  54.4707
 0.615   8.45  58.6386
 0.615   8.55  52.9128
 0.615   8.65  38.2784
 0.615   8.75  66.9907
 0.615   8.85  42.5499
 0.615   8.95  49.1111
 0.615   9.05  54.7839
 0.615   9.15  51.2228
 0.615   9.25  44.3268
 0.615   9.35  38.4001
 0.615   9.45  43.1973
 0.615   9.55  38.5311
 0.615   9.65  30.3204
 0.615   9.75  44.0849
 0.615   9.85  14.3082
 0.625   7.45  34.1384
 0.625   7.55  71.4995
 0.625   7.65  59.3884
 0.625   7.75  77.0240
 0.625   7.85  85.7063
 0.625   7.95  66.1104
 0.625   8.05  62.4044
 0.625   8.15  50.7399
 0.625   8.25  54.8322
 0.625   8.35  60.8400
 0.625   8.45  53.6217
 0.625   8.55  48.9322
 0.625   8.65  46.4263
 0.625   8.75  49.6144
 0.625   8.85  42.1472
 0.625   8.95  53.8243
 0.625   9.05  45.8946
 0.625   9.15  47.7669
 0.625   9.25  33.9046
 0.625   9.35  40.8448
 0.625   9.45  51.6686
 0.625   9.55  45.1723
 0.625   9.65  26.3518
 0.625   9.75  21.8593
 0.625   9.85  32.2055
 0.625   9.95  17.4111
 0.625  10.05  0.5448
 0.635   7.45  0.0549
 0.635   7.55  41.3295
 0.635   7.65  87.7782
 0.635   7.75  56.7095
 0.635   7.85  73.4860
 0.635   7.95  73.7980
 0.635   8.05  52.3708
 0.635   8.15  70.7473
 0.635   8.25  52.6511
 0.635   8.35  46.6274
 0.635   8.45  40.6066
 0.635   8.55  57.9519
 0.635   8.65  62.5899
 0.635   8.75  48.7551
 0.635   8.85  53.6483
 0.635   8.95  42.9699
 0.635   9.05  28.2086
 0.635   9.15  32.2608
 0.635   9.25  33.2215
 0.635   9.35  43.5350
 0.635   9.45  37.5540
 0.635   9.55  24.9601
 0.635   9.65  37.4134
 0.635   9.75  39.9337
 0.635   9.85  29.1386
 0.635   9.95  23.2869
 0.635  10.05  12.7311
 0.635  10.15  2.6576
 0.645   7.55  5.6464
 0.645   7.65  47.8196
 0.645   7.75  56.2035
 0.645   7.85  74.8022
 0.645   7.95  59.4122
 0.645   8.05  76.8264
 0.645   8.15  64.8889
 0.645   8.25  56.6997
 0.645   8.35  36.5715
 0.645   8.45  26.6476
 0.645   8.55  53.8696
 0.645   8.65  46.3728
 0.645   8.75  32.8245
 0.645   8.85  57.1006
 0.645   8.95  49.3576
 0.645   9.05  40.7468
 0.645   9.15  49.6173
 0.645   9.25  34.0342
 0.645   9.35  27.2027
 0.645   9.45  33.7171
 0.645   9.55  32.6015
 0.645   9.65  40.2594
 0.645   9.75  30.3523
 0.645   9.85  34.2818
 0.645   9.95  21.0707
 0.645  10.05  30.5284
 0.645  10.15  21.7012
 0.645  10.25  7.6747
 0.655   7.65  39.3974
 0.655   7.75  49.0522
 0.655   7.85  63.9581
 0.655   7.95  62.1557
 0.655   8.05  69.5557
 0.655   8.15  53.2477
 0.655   8.25  39.9868
 0.655   8.35  39.9777
 0.655   8.45  42.0672
 0.655   8.55  36.4205
 0.655   8.65  34.7154
 0.655   8.75  36.0684
 0.655   8.85  32.9039
 0.655   8.95  40.5347
 0.655   9.05  31.9302
 0.655   9.15  31.0318
 0.655   9.25  30.0337
 0.655   9.35  40.5056
 0.655   9.45  29.1172
 0.655   9.55  28.7965
 0.655   9.65  34.7183
 0.655   9.75  20.5892
 0.655   9.85  34.1271
 0.655   9.95  33.0166
 0.655  10.05  21.3214
 0.655  10.15  20.6779
 0.655  10.25  22.0930
 0.655  10.35  8.4672
 0.665   7.75  43.1132
 0.665   7.85  42.6371
 0.665   7.95  52.5835
 0.665   8.05  25.4872
 0.665   8.15  43.6313
 0.665   8.25  49.7757
 0.665   8.35  41.1931
 0.665   8.45  35.7141
 0.665   8.55  55.8237
 0.665   8.65  38.3551
 0.665   8.75  27.3149
 0.665   8.85  35.8598
 0.665   8.95  43.1492
 0.665   9.05  32.2344
 0.665   9.15  38.5681
 0.665   9.25  27.5132
 0.665   9.35  29.9939
 0.665   9.45  25.1507
 0.665   9.55  32.2970
 0.665   9.65  30.1422
 0.665   9.75  24.5734
 0.665   9.85  22.0328
 0.665   9.95  21.4054
 0.665  10.05  26.2269
 0.665  10.15  24.6509
 0.665  10.25  23.4213
 0.665  10.35  17.5651
 0.665  10.45  8.8209
 0.665  10.55  0.0229
 0.675   7.75  13.4431
 0.675   7.85  30.4141
 0.675   7.95  46.6997
 0.675   8.05  35.9904
 0.675   8.15  40.9577
 0.675   8.25  58.8620
 0.675   8.35  18.8025
 0.675   8.45  27.9350
 0.675   8.55  37.5568
 0.675   8.65  41.5542
 0.675   8.75  34.9649
 0.675   8.85  36.2252
 0.675   8.95  35.8521
 0.675   9.05  29.7661
 0.675   9.15  21.9696
 0.675   9.25  29.0544
 0.675   9.35  27.2060
 0.675   9.45  20.6507
 0.675   9.55  30.7564
 0.675   9.65  24.5152
 0.675   9.75  30.7014
 0.675   9.85  23.6337
 0.675   9.95  20.5791
 0.675  10.05  21.9792
 0.675  10.15  22.2841
 0.675  10.25  17.0869
 0.675  10.35  16.1957
 0.675  10.45  20.8671
 0.675  10.55  12.7261
 0.675  10.65  1.1494
 0.685   7.85  31.3615
 0.685   7.95  46.1624
 0.685   8.05  38.0239
 0.685   8.15  42.0997
 0.685   8.25  33.2900
 0.685   8.35  39.2283
 0.685   8.45  36.9287
 0.685   8.55  32.0017
 0.685   8.65  29.8805
 0.685   8.75  30.3222
 0.685   8.85  20.0691
 0.685   8.95  38.2906
 0.685   9.05  25.4664
 0.685   9.15  25.4403
 0.685   9.25  36.6453
 0.685   9.35  21.9893
 0.685   9.45  19.6162
 0.685   9.55  25.4080
 0.685   9.65  20.0003
 0.685   9.75  17.7877
 0.685   9.85  19.5116
 0.685   9.95  21.7354
 0.685  10.05  20.5280
 0.685  10.15  18.2674
 0.685  10.25  20.2683
 0.685  10.35  12.2040
 0.685  10.45  16.5502
 0.685  10.55  14.7354
 0.685  10.65  7.6750
 0.685  10.75  2.4243
 0.695   7.95  28.6135
 0.695   8.05  26.9259
 0.695   8.15  70.7248
 0.695   8.25  26.3935
 0.695   8.35  37.2503
 0.695   8.45  32.2200
 0.695   8.55  30.0979
 0.695   8.65  23.4360
 0.695   8.75  30.4238
 0.695   8.85  19.6870
 0.695   8.95  32.7066
 0.695   9.05  25.8922
 0.695   9.15  25.7670
 0.695   9.25  29.1383
 0.695   9.35  17.9901
 0.695   9.45  21.9868
 0.695   9.55  16.8808
 0.695   9.65  24.6138
 0.695   9.75  16.6552
 0.695   9.85  21.9641
 0.695   9.95  19.5047
 0.695  10.05  24.8658
 0.695  10.15  15.7642
 0.695  10.25  17.6495
 0.695  10.35  11.8124
 0.695  10.45  11.9183
 0.695  10.55  18.0376
 0.695  10.65  14.0609
 0.695  10.75  14.8238
 0.695  10.85  2.8888
 0.705   7.95  3.7589
 0.705   8.05  38.7834
 0.705   8.15  30.3484
 0.705   8.25  39.4719
 0.705   8.35  34.3305
 0.705   8.45  31.0390
 0.705   8.55  32.6026
 0.705   8.65  23.0840
 0.705   8.75  11.3074
 0.705   8.85  34.7404
 0.705   8.95  18.7814
 0.705   9.05  20.8899
 0.705   9.15  27.2887
 0.705   9.25  18.8231
 0.705   9.35  19.0823
 0.705   9.45  17.3598
 0.705   9.55  21.0987
 0.705   9.65  19.9298
 0.705   9.75  19.1211
 0.705   9.85  15.4125
 0.705   9.95  21.2335
 0.705  10.05  13.8358
 0.705  10.15  15.1044
 0.705  10.25  20.0148
 0.705  10.35  11.4400
 0.705  10.45  13.0128
 0.705  10.55  13.4601
 0.705  10.65  12.4597
 0.705  10.75  10.6982
 0.705  10.85  10.9889
 0.705  10.95  3.2709
 0.715   8.05  18.3505
 0.715   8.15  25.9395
 0.715   8.25  22.3774
 0.715   8.35  26.2181
 0.715   8.45  28.8449
 0.715   8.55  19.6050
 0.715   8.65  32.0933
 0.715   8.75  23.6976
 0.715   8.85  24.4482
 0.715   8.95  16.3035
 0.715   9.05  31.5374
 0.715   9.15  22.2457
 0.715   9.25  23.2271
 0.715   9.35  23.9747
 0.715   9.45  20.5036
 0.715   9.55  15.3443
 0.715   9.65  15.7950
 0.715   9.75  15.6026
 0.715   9.85  12.2659
 0.715   9.95  16.1178
 0.715  10.05  13.2830
 0.715  10.15  15.7759
 0.715  10.25  18.5996
 0.715  10.35  10.3728
 0.715  10.45  8.5752
 0.715  10.55  13.5470
 0.715  10.65  12.0175
 0.715  10.75  19.1899
 0.715  10.85  12.1235
 0.715  10.95  10.4676
 0.715  11.05  4.5853
 0.725   8.05  1.6045
 0.725   8.15  4.6042
 0.725   8.25  22.7989
 0.725   8.35  15.9923
 0.725   8.45  24.8628
 0.725   8.55  24.6397
 0.725   8.65  21.2850
 0.725   8.75  8.2385
 0.725   8.85  18.1223
 0.725   8.95  24.6385
 0.725   9.05  29.4820
 0.725   9.15  21.3262
 0.725   9.25  20.0054
 0.725   9.35  12.1838
 0.725   9.45  12.3169
 0.725   9.55  18.0473
 0.725   9.65  17.3344
 0.725   9.75  13.5800
 0.725   9.85  14.5158
 0.725   9.95  12.6950
 0.725  10.05  14.0587
 0.725  10.15  15.2659
 0.725  10.25  11.1872
 0.725  10.35  9.1556
 0.725  10.45  15.8629
 0.725  10.55  9.6044
 0.725  10.65  9.0101
 0.725  10.75  8.1890
 0.725  10.85  11.2684
 0.725  10.95  9.3900
 0.725  11.05  7.5263
 0.725  11.15  2.7045
 0.735   8.55  9.4251
 0.735   8.65  8.5055
 0.735   8.75  13.8492
 0.735   8.85  16.0462
 0.735   8.95  14.4802
 0.735   9.05  18.7369
 0.735   9.15  10.1145
 0.735   9.25  20.2391
 0.735   9.35  19.2424
 0.735   9.45  23.4328
 0.735   9.55  18.1076
 0.735   9.65  12.2733
 0.735   9.75  12.9248
 0.735   9.85  16.3750
 0.735   9.95  10.1921
 0.735  10.05  10.1815
 0.735  10.15  14.3247
 0.735  10.25  14.9336
 0.735  10.35  10.4776
 0.735  10.45  10.9403
